DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-06-01 00:00:00,5.9,5229.0,289,23.0,19,958,3.5,220.0,22.0
2021-06-01 01:00:00,5.1,3368.0,282,21.7,21,958,3.5,117.0,112.0
2021-06-01 02:00:00,4.3,2234.0,271,20.5,25,958,4.6,2006.0,1742.0
2021-06-01 03:00:00,3.6,1446.0,276,20.2,25,958,2.6,-37.0,-246.0
2021-06-01 04:00:00,3.3,1105.0,291,19.6,26,958,2.9,-31.0,-179.0
2021-06-01 05:00:00,3.0,822.0,296,17.4,31,958,3.1,-12.0,-179.0
2021-06-01 06:00:00,2.9,770.0,284,15.7,35,958,4.2,1010.0,491.0
2021-06-01 07:00:00,3.9,1053.0,276,15.3,36,958,4.1,884.0,826.0
2021-06-01 08:00:00,4.5,1120.0,276,16.7,33,958,4.9,3248.0,4399.0
2021-06-01 09:00:00,4.4,1065.0,281,18.7,31,959,3.8,491.0,0.0
2021-06-01 10:00:00,3.9,1047.0,283,21.2,28,959,4.6,2330.0,2769.0
2021-06-01 11:00:00,3.7,1242.0,283,23.8,24,959,7.5,15367.0,16816.0
2021-06-01 12:00:00,4.1,1981.0,281,25.9,24,958,6.9,12053.0,12707.0
2021-06-01 13:00:00,5.3,3857.0,283,28.2,21,958,7.4,15007.0,14136.0
2021-06-01 14:00:00,7.0,7867.0,287,30.3,18,957,8.5,20489.0,18402.0
2021-06-01 15:00:00,8.0,10719.0,288,31.6,14,957,7.0,11667.0,11702.0
2021-06-01 16:00:00,8.6,12398.0,289,32.4,11,957,5.8,6639.0,9960.0
2021-06-01 17:00:00,8.8,12966.0,287,32.8,10,957,6.5,10642.0,8799.0
2021-06-01 18:00:00,8.7,12530.0,281,32.7,9,956,5.4,5036.0,7973.0
2021-06-01 19:00:00,8.2,10585.0,279,32.4,9,956,5.4,4926.0,5315.0
2021-06-01 20:00:00,8.0,10083.0,281,31.8,10,956,7.6,15741.0,16459.0
2021-06-01 21:00:00,8.9,14114.0,278,30.4,11,957,6.6,10558.0,11836.0
2021-06-01 22:00:00,9.4,15099.0,272,28.4,13,957,6.2,8272.0,10183.0
2021-06-01 23:00:00,9.0,12914.0,268,26.8,15,958,4.7,2918.0,2948.0
2021-06-02 00:00:00,6.2,5203.0,272,24.7,21,958,3.3,-96.0,-246.0
2021-06-02 01:00:00,3.2,2091.0,296,23.2,26,959,4.3,904.0,648.0
2021-06-02 02:00:00,2.0,1073.0,285,23.4,26,959,3.2,-118.0,-246.0
2021-06-02 03:00:00,2.3,801.0,270,23.4,26,959,3.0,-77.0,-201.0
2021-06-02 04:00:00,2.4,623.0,285,22.4,28,959,1.8,-32.0,-201.0
2021-06-02 05:00:00,2.3,506.0,322,19.3,34,959,2.4,-17.0,-179.0
2021-06-02 06:00:00,2.2,508.0,342,17.6,36,959,2.4,-17.0,-179.0
2021-06-02 07:00:00,2.2,717.0,347,17.4,34,960,2.0,-20.0,-179.0
2021-06-02 08:00:00,2.0,793.0,349,18.9,30,960,2.0,-9.0,-201.0
2021-06-02 09:00:00,0.8,1180.0,353,21.2,26,961,3.1,-14.0,-179.0
2021-06-02 10:00:00,1.6,1734.0,90,23.7,22,961,3.3,-43.0,-156.0
2021-06-02 11:00:00,3.0,2635.0,111,26.2,19,961,4.5,2220.0,2568.0
2021-06-02 12:00:00,3.7,3445.0,117,28.6,16,961,5.1,3852.0,3372.0
2021-06-02 13:00:00,3.1,2799.0,123,30.5,13,961,4.7,2549.0,2367.0
2021-06-02 14:00:00,1.3,2067.0,151,31.7,13,961,3.4,-391.0,-625.0
2021-06-02 15:00:00,1.7,1332.0,273,32.7,14,961,1.7,-69.0,-223.0
2021-06-02 16:00:00,3.6,1435.0,284,33.4,15,960,2.1,-85.0,-201.0
2021-06-02 17:00:00,5.1,2503.0,286,33.7,16,960,1.3,-70.0,-201.0
2021-06-02 18:00:00,8.9,9494.0,254,31.1,23,960,2.4,-95.0,-201.0
2021-06-02 19:00:00,5.0,3698.0,289,31.1,21,960,2.0,-70.0,-201.0
2021-06-02 20:00:00,5.2,2853.0,320,31.0,22,960,0.8,-71.0,-201.0
2021-06-02 21:00:00,4.1,2219.0,346,30.3,23,961,1.6,-51.0,-179.0
2021-06-02 22:00:00,3.1,1693.0,4,28.5,27,961,1.0,-39.0,-179.0
2021-06-02 23:00:00,2.7,1906.0,352,27.5,28,961,0.3,-18.0,-156.0
2021-06-03 00:00:00,2.1,920.0,329,25.6,33,961,0.9,-8.0,-156.0
2021-06-03 01:00:00,1.7,850.0,336,24.8,34,960,3.8,117.0,-67.0
2021-06-03 02:00:00,0.9,727.0,288,24.4,34,960,3.2,-163.0,-290.0
2021-06-03 03:00:00,1.3,789.0,279,23.7,36,960,2.7,-252.0,-201.0
2021-06-03 04:00:00,0.8,830.0,330,21.8,40,960,2.2,-23.0,-156.0
2021-06-03 05:00:00,1.0,735.0,299,20.9,41,960,4.7,743.0,-134.0
2021-06-03 06:00:00,1.7,724.0,335,19.8,44,961,3.4,23.0,-156.0
2021-06-03 07:00:00,1.6,964.0,11,19.7,43,961,3.7,365.0,625.0
2021-06-03 08:00:00,1.3,1187.0,86,20.9,40,961,2.4,-12.0,-179.0
2021-06-03 09:00:00,2.1,2003.0,119,23.0,36,961,3.3,-93.0,-357.0
2021-06-03 10:00:00,2.5,2561.0,122,25.5,32,961,3.2,-264.0,-246.0
2021-06-03 11:00:00,3.0,3517.0,117,28.3,27,961,5.1,4349.0,5092.0
2021-06-03 12:00:00,3.7,4446.0,116,30.5,23,960,4.3,1552.0,2189.0
2021-06-03 13:00:00,4.0,4754.0,118,32.4,20,960,4.7,2800.0,2300.0
2021-06-03 14:00:00,3.6,3638.0,122,33.6,18,959,3.9,150.0,201.0
2021-06-03 15:00:00,2.4,2420.0,128,34.3,16,958,2.5,-47.0,-223.0
2021-06-03 16:00:00,0.6,1335.0,90,34.7,16,958,1.8,-84.0,-201.0
2021-06-03 17:00:00,1.2,1139.0,99,35.0,15,957,1.6,-79.0,-201.0
2021-06-03 18:00:00,1.1,1400.0,355,35.0,15,957,2.8,-65.0,-223.0
2021-06-03 19:00:00,4.0,2156.0,318,34.9,15,957,2.0,-85.0,-201.0
2021-06-03 20:00:00,4.9,2836.0,345,32.9,19,958,8.5,19693.0,23091.0
2021-06-03 21:00:00,4.9,2621.0,358,31.9,20,958,6.3,8208.0,8263.0
2021-06-03 22:00:00,5.3,2071.0,2,30.2,23,958,5.5,5540.0,3238.0
2021-06-03 23:00:00,3.7,1380.0,16,28.3,27,958,3.9,78.0,625.0
2021-06-04 00:00:00,4.1,1569.0,54,28.2,32,957,2.4,-100.0,-223.0
2021-06-04 01:00:00,1.9,1161.0,51,26.9,34,957,1.8,-102.0,-201.0
2021-06-04 02:00:00,1.7,1330.0,28,25.1,38,957,5.6,5578.0,8442.0
2021-06-04 03:00:00,3.9,2379.0,54,24.3,38,956,4.7,2071.0,2189.0
2021-06-04 04:00:00,3.7,1974.0,55,23.2,39,956,0.7,-104.0,-201.0
2021-06-04 05:00:00,3.2,2425.0,55,22.3,40,956,3.0,-117.0,-201.0
2021-06-04 06:00:00,3.6,2122.0,291,21.2,49,957,5.7,6315.0,7437.0
2021-06-04 07:00:00,5.4,1139.0,274,21.5,47,957,5.2,4308.0,8017.0
2021-06-04 08:00:00,5.2,1094.0,279,22.7,45,957,5.4,5054.0,3729.0
2021-06-04 09:00:00,4.4,1397.0,288,23.9,45,958,3.6,-17.0,67.0
2021-06-04 10:00:00,5.4,2320.0,316,24.5,38,958,4.9,3427.0,4935.0
2021-06-04 11:00:00,5.3,2592.0,314,27.2,32,958,3.5,-595.0,-67.0
2021-06-04 12:00:00,5.6,3190.0,342,28.4,30,958,1.3,-62.0,-201.0
2021-06-04 13:00:00,4.2,2052.0,345,28.9,29,957,4.4,1595.0,2747.0
2021-06-04 14:00:00,3.4,2142.0,326,30.0,26,957,2.7,-47.0,-313.0
2021-06-04 15:00:00,3.7,1771.0,297,30.8,24,956,2.5,-116.0,-335.0
2021-06-04 16:00:00,5.3,1615.0,282,31.2,24,956,2.5,-89.0,-223.0
2021-06-04 17:00:00,5.2,1958.0,280,30.9,23,955,12.6,35609.0,35441.0
2021-06-04 18:00:00,4.6,4271.0,286,31.3,22,955,5.7,6606.0,9491.0
2021-06-04 19:00:00,5.1,4945.0,287,31.3,23,954,5.6,5460.0,6834.0
2021-06-04 20:00:00,3.8,2845.0,317,30.0,26,955,4.3,1470.0,603.0
2021-06-04 21:00:00,6.8,5857.0,283,28.9,29,955,3.5,-186.0,-313.0
2021-06-04 22:00:00,4.1,4564.0,304,27.7,33,955,3.1,-88.0,-201.0
2021-06-04 23:00:00,4.6,3030.0,4,26.6,34,955,2.0,-51.0,-201.0
2021-06-05 00:00:00,4.7,3773.0,318,25.3,36,955,1.2,-28.0,-179.0
2021-06-05 01:00:00,5.7,5067.0,287,24.1,39,955,10.1,27631.0,35352.0
2021-06-05 02:00:00,11.4,17016.0,297,23.4,44,956,4.2,1632.0,3037.0
2021-06-05 03:00:00,9.4,11544.0,292,20.3,65,956,0.5,-14.0,-201.0
2021-06-05 04:00:00,7.4,7824.0,272,19.0,79,956,1.8,-13.0,-201.0
2021-06-05 05:00:00,10.9,19518.0,269,18.6,85,956,1.8,-14.0,-201.0
2021-06-05 06:00:00,11.0,21980.0,271,18.7,84,957,2.6,-12.0,-201.0
2021-06-05 07:00:00,11.0,22769.0,276,18.9,81,957,6.9,1499.0,45.0
2021-06-05 08:00:00,9.7,23657.0,280,19.2,79,957,13.6,39438.0,40064.0
2021-06-05 09:00:00,11.5,32598.0,277,20.0,72,958,12.4,38165.0,40153.0
2021-06-05 10:00:00,15.3,37779.0,267,18.4,68,959,14.0,38227.0,38902.0
2021-06-05 11:00:00,16.2,38935.0,267,16.9,69,959,13.5,37647.0,38969.0
2021-06-05 12:00:00,16.4,39323.0,267,16.0,66,960,13.4,40035.0,39751.0
2021-06-05 13:00:00,17.1,39430.0,269,16.3,58,960,11.7,37576.0,35508.0
